id,name,url,email
1,NSF International Strategic Registrations,https://www.nsf.org,info@nsf.org
2,SAI Global Assurance Services,https://www.saiglobal.com,foodsafety@saiglobal.com
3,SCS Global Services,https://www.scsglobalservices.com,food@scsglobalservices.com
4,DEKRA Certification Inc.,https://www.dekra.us,certification@dekra.com
5,Eurofins Food Safety System Certification,https://www.eurofins.com,foodsafety@eurofins.com
6,Food Safety Net Services (FSNS),https://www.foodsafetynetservices.com,info@fsns.com
7,Intertek USA Inc.,https://www.intertek.com,foodsafety@intertek.com
8,DNV Business Assurance USA Inc.,https://www.dnv.com,foodsafety@dnv.com
9,Perry Johnson Registrars Food Safety Inc.,https://www.pjrfsi.com,info@pjrfsi.com
10,UL LLC,https://www.ul.com,food@ul.com
11,Bureau Veritas North America Inc.,https://www.bureauveritas.com,food@bureauveritas.com
12,TUV SUD America Inc.,https://www.tuvsud.com,foodsafety@tuvsud.com
13,ALS Global,https://www.alsglobal.com,food@alsglobal.com
14,SGS North America Inc.,https://www.sgs.com,food@sgs.com
15,Best ISO Certification Co. Ltd.,https://www.bestiso.com,info@bestiso.com
